yearquarter, unadjusted_GDP,adjusted_GDP
2020QIV,299307,290296
2020QIII,282149,289165
2020QII,251187,245851
2020QI,289305,296636
2019QIV,324228,315023
2019QIII,305611,311706
2019QII,315507,309942
2019QI,299029,307704
2018QIV,314974,305705
2018QIII,296887,301953
2018QII,304836,299384
2018QI,286562,296217
2017QIV,303707,295449
2017QIII,287429,291234
2017QII,294157,289461
2017QI,276574,285723
2016QIV,290415,281896
2016QIII,275793,280145
2016QII,281788,276760
2016QI,265844,275039
