Date,,Name,Type,Details
1-Jan,Tuesday,New Year's Day,National holiday,
6-Jan,Sunday,Epiphany,National holiday,
19-Apr,Friday,Good Friday,National holiday,
1-May,Wednesday,Labor Day / May Day,National holiday,
15-Aug,Thursday,Assumption of Mary,National holiday,
12-Oct,Saturday,Hispanic Day,National holiday,
1-Nov,Friday,All Saint's Day Holiday,National holiday,All
6-Dec,Friday,Constitution Day Holiday,National holiday,
8-Dec,Sunday,Immaculate Conception,National holiday,
9-Dec,Monday,Immaculate Conception observed,National holiday,"AN, AR, CL, EX, LO, M, ML, O, S"
25-Dec,Wednesday,Christmas Day,National holiday,
